order_id_new,order_try_id_new,calc_created,metered_price,upfront_price,distance,duration,gps_confidence,entered_by,b_state,dest_change_number,prediction_price_type,predicted_distance,predicted_duration,change_reason_pricing,ticket_id_new,rider_app_version,order_state,order_try_state,driver_app_version,driver_device_uid_new,device_name,us_indicator,overpaid_ride_ticket,fraud_score
22,22,43863.15105,4.04,10,2839,700,1,client,finished,1,upfront,13384,1091,,1376,CI.4.17,finished,finished,DA.4.37,1596,Xiaomi Redmi 6,1,0,-1383
618,618,43869.10161,6.09,3.6,5698,493,1,client,finished,1,upfront,2286,360,,2035,CA.5.43,finished,finished,DA.4.39,1578,Samsung SM-G965F,1,0,
657,657,43869.49346,4.32,3.5,4426,695,1,client,finished,1,upfront,4101,433,,2222,CA.5.43,finished,finished,DA.4.37,951,Samsung SM-A530F,1,0,-166
313,313,43866.27424,72871.72,,49748,1400,0,client,finished,2,upfront_destination_changed,3017,600,client_destination_changed,1788,CA.5.23,finished,finished,DA.4.37,1587,TECNO-Y6,0,1,
1176,1176,43874.73014,20032.5,19500,10273,5067,1,client,finished,1,upfront,14236,2778,,2710,CA.5.04,finished,finished,DA.4.37,433,Itel W5504,0,0,
1209,1209,43875.06043,6.11,6.3,4924,513,1,client,finished,1,upfront,4882,562,,2732,CA.5.04,finished,finished,DA.4.39,1591,HUAWEI WAS-LX1,1,0,
761,761,43870.28565,20753.2,10500,10459,1874,1,client,finished,1,upfront,4892,698,,2173,CI.4.17,finished,finished,DA.4.19,982,TECNO MOBILE LIMITED TECNO KA7O,0,0,
1662,1662,43878.76719,2.61,6.5,2020,412,1,client,finished,1,upfront,8545,888,,3229,CI.4.18,finished,finished,DA.4.37,1701,Samsung SM-N950F,1,0,-2350
1904,1904,43881.69345,13600.5,,9540,1917,1,client,finished,1,prediction,11018,1914,,3557,CA.5.40,finished,finished,DA.4.31,605,TECNO K7,0,0,
1999,1999,43882.46016,4.14,2.5,3845,720,1,client,finished,1,upfront,1883,298,,3631,CI.4.18,finished,finished,DA.4.39,1960,Samsung SM-G930F,1,0,-5181
